parcel,structure,hemi,gtex,loro_eval,raw:KCNS1,raw:CABP1,raw:HSPB3,raw:THEMIS,raw:TESPA1,truth_h:KCNS1,truth_h:CABP1,truth_h:HSPB3,truth_h:THEMIS,truth_h:TESPA1,fused_h:KCNS1,fused_h:CABP1,fused_h:HSPB3,fused_h:THEMIS,fused_h:TESPA1,fullfit_h:KCNS1,fullfit_h:CABP1,fullfit_h:HSPB3,fullfit_h:THEMIS,fullfit_h:TESPA1
Cerebellar_Region1,subcortex,B,True,True,0.1945,3.6974,0.0,0.0704,0.035,0.1299,3.2778,0.0217,-1.2136,-0.0346,-0.2981,1.4433,-0.2606,-0.645,-0.182,0.5897,3.3192,0.6612,0.5919,0.1559
Cerebellar_Region5,subcortex,B,True,True,0.0827,3.7015,0.0,0.0442,0.0922,-0.0545,3.282,0.0217,-1.3446,0.0438,0.4278,1.8658,0.0657,0.0745,0.4709,0.4053,3.3234,0.6612,0.4609,0.2343
LH-Ca,subcortex,L,True,True,0.3484,2.8153,0.1762,0.0589,3.3444,0.3837,2.3843,0.3649,-1.2717,4.5017,1.4376,2.754,2.2756,0.8702,1.8105,0.8435,2.4255,1.0046,0.5344,4.6913
LH-HTH,subcortex,L,True,True,0.1285,1.9648,0.2055,0.1024,0.1067,0.0207,1.5224,0.4219,-1.0546,0.0635,0.5201,2.0445,0.7121,-0.057,0.741,0.4807,1.5639,1.0616,0.7516,0.2541
LH-NAC,subcortex,L,True,True,0.3156,2.4686,0.0801,0.0195,0.1314,0.3294,2.0328,0.1776,-1.4687,0.0972,0.1483,2.0743,1.6531,-0.0438,0.9184,0.7893,2.0743,0.8174,0.3375,0.2879
LH-Pu,subcortex,L,True,True,0.2099,2.1685,0.0708,0.0937,2.7622,0.1552,1.7288,0.1593,-1.0978,3.7032,1.2954,2.6311,1.8844,0.6587,1.5815,0.615,1.7702,0.7991,0.708,3.8934
LH_Amygdala,subcortex,L,True,True,0.3032,2.8824,0.8295,0.1648,0.3755,0.3088,2.4519,1.6381,-0.743,0.4317,0.871,2.4713,2.0296,0.4871,1.5848,0.7688,2.4935,2.2778,1.0635,0.6225
LH_Cont_PFCl_1,cortex,L,True,True,3.3144,5.5159,2.597,1.4699,4.1123,5.2755,5.1206,5.0839,5.7822,5.5534,4.558,4.7455,4.4606,2.2877,5.3089,5.7345,5.1617,5.7222,7.5843,5.7436
LH_Default_PFC_5,cortex,L,True,True,3.0595,5.3679,2.3528,0.4233,4.0539,4.8545,4.9705,4.6069,0.5487,5.4731,4.3771,4.6078,4.4978,3.7174,5.0484,5.314,5.0118,5.2463,2.3551,5.6636
LH_Hippocampus,subcortex,L,True,True,0.2592,2.584,0.5751,0.1033,0.1408,0.2362,2.1495,1.1423,-1.0502,0.11,2.1796,3.3095,3.1151,1.534,2.9767,0.6963,2.1912,1.7819,0.7563,0.3008
RH-SNc_PBP_VTA,subcortex,R,True,True,0.3032,2.0485,0.0,0.039,0.0113,0.3091,1.6074,0.0215,-1.3715,-0.0674,0.0049,1.6091,-0.22,-0.6116,-0.0055,0.7689,1.6487,0.6612,0.4349,0.1233
RH_SalVentAttn_Med_2,cortex,R,True,True,2.2374,4.6883,2.3064,0.2518,3.2954,3.4991,4.2819,4.5168,-0.3086,4.4339,4.7947,4.9101,4.7967,4.4626,5.5944,3.9584,4.3232,5.1558,1.498,4.6241
